ts_iso,ts_epoch_ms,lat,lon,sog_kn,cog_deg,gps_valid,gps_accuracy_m,wind_dir_deg,wind_calibrated,wind_calib_state,wind_net_deg,wind_range_deg,closehauled_twa_deg,closehauled_samples,downwind_twa_deg,calib_mode_on,smart_mode_on,active_boat_profile,vmg_kn,distance_traveled_m,home_active,home_bearing_deg,home_dist_m,home_rec_heading_deg,home_maneuver_needed,home_vmc_kn,home_eta_s,train_mode,competition_active,comp_leg,comp_bearing_deg,comp_dist_m,comp_rec_heading_deg,comp_maneuver_needed,comp_lap_count,comp_is_estimated,lake_dist_m,lake_dist_pct,watch_connected,operation_mode,app_role,status_text,status_level,event
14:08:38,1786795718352,46.826311,10.5202089,0.22943143755930662,164.32362365722656,true,3.022,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:39,1786795719358,46.8263103,10.5202083,0.23819732019272447,199.1388702392578,true,3.019,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:40,1786795720366,46.8263098,10.5202076,0.2996165165888071,94.11441040039062,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:41,1786795721371,46.8263082,10.5202094,0.5553963641445636,90.10621643066406,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:42,1786795722380,46.8263069,10.5202107,0.505439393897295,90.0884017944336,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:43,1786795723387,46.826294,10.5202194,1.6651330091085432,148.32138061523438,true,3.039,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,11.488490835438368,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:44,1786795724394,46.8262773,10.5202322,2.1866717937111853,150.5023193359375,true,3.108,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,13.585307533426187,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:45,1786795725400,46.8262644,10.5202446,2.191893004787922,144.20433044433594,true,3.108,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,15.302152538092626,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:46,1786795726408,46.8262562,10.5202566,2.1730503464040756,111.45376586914062,true,3.117,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,16.592460380223102,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:47,1786795727416,46.8262511,10.5202709,2.1263351985855103,134.45016479492188,true,3.141,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,17.81934647780729,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:48,1786795728424,46.8262437,10.5202767,1.7882777703409194,100.3819580078125,true,3.085,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,18.75304282629018,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:49,1786795729433,46.8262491,10.520281,1.4787907850089073,64.273193359375,true,3.026,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,18.75304282629018,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:50,1786795730442,46.8262553,10.5202806,1.6811211721680164,8.750528335571289,true,3.026,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,18.75304282629018,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:51,1786795731450,46.8262675,10.5202809,2.186235456925392,24.3817195892334,true,3.018,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,20.109812926200735,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:52,1786795732458,46.8262758,10.5202929,2.136963231873035,73.31306457519531,true,3.018,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,21.408002084233743,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:53,1786795733466,46.8262775,10.5203098,2.1446446594419477,73.64537811279297,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,22.70759193850815,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
14:08:54,1786795734475,46.8262757,10.5203244,2.113217519824505,135.31336975097656,true,3.0,,false,IDLE,,,43.0,0,149.0,false,false,musto-skiff-default,,23.83626275309742,false,,,,,,,OFF,false,,,,,,,,,,true,WITH_WATCH,SAILOR,Bereit.,NORMAL,
